State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
"Uttar Pradesh",Mirzapur,"Ahirora APMC",Cauliflower,Cauliflower,Medium,01/03/2026,1500,2500,2000
"Uttar Pradesh",Mirzapur,"Ahirora APMC",Paddy(Common),Common,Non-FAQ,01/03/2026,2370,2370,2370
"Uttar Pradesh",Mirzapur,"Ahirora APMC",Pumpkin,Pumpkin,Medium,01/03/2026,1500,1700,1600
"Uttar Pradesh",Mirzapur,"Ahirora APMC","Green Chilli","Green Chilly",Medium,01/03/2026,5000,5000,5000
"Madhya Pradesh",Badwani,"Badwani(F&V) APMC",Onion,Onion,Local,01/03/2026,1100,1100,1100
"Madhya Pradesh",Badwani,"Badwani(F&V) APMC",Pumpkin,Pumpkin,Local,01/03/2026,1200,1200,1200
"Madhya Pradesh",Badwani,"Badwani(F&V) APMC",Carrot,Carrot,Local,01/03/2026,1000,1000,1000
"Madhya Pradesh",Badwani,"Badwani(F&V) APMC",Potato,Potato,Local,01/03/2026,900,900,900
"Madhya Pradesh",Shivpuri,"Karera(F&V) APMC",Potato,Potato,Local,01/03/2026,500,1000,600
"Madhya Pradesh",Shivpuri,"Karera(F&V) APMC",Cabbage,Cabbage,Local,01/03/2026,1000,2000,1500
"Madhya Pradesh",Shivpuri,"Karera(F&V) APMC",Cauliflower,Cauliflower,Local,01/03/2026,800,1500,1000
"Madhya Pradesh",Shivpuri,"Karera(F&V) APMC",Raddish,Raddish,Local,01/03/2026,600,1000,800
"Uttar Pradesh",Bulandshahar,"Anoop Shahar APMC",Raddish,Other,FAQ,01/03/2026,400,800,600
"Uttar Pradesh",Bulandshahar,"Anoop Shahar APMC","Green Chilli","Green Chilly",FAQ,01/03/2026,5100,5500,5300
"Uttar Pradesh",Bulandshahar,"Anoop Shahar APMC",Cucumbar(Kheera),Cucumbar,FAQ,01/03/2026,1800,2200,2000
"Uttar Pradesh",Etah,"Awagarh APMC","Green Chilli","Green Chilly",FAQ,01/03/2026,2400,2600,2500
"Uttar Pradesh",Etah,"Awagarh APMC",Cauliflower,Cauliflower,FAQ,01/03/2026,1500,1600,1550
"Uttar Pradesh",Etah,"Awagarh APMC",Carrot,Carrot,FAQ,01/03/2026,1200,1500,1400
"West Bengal",Bankura,"Bishnupur(Bankura) APMC",Onion,Nasik,Non-FAQ,01/03/2026,1500,2000,1800
"West Bengal",Bankura,"Bishnupur(Bankura) APMC",Wheat,Sonalika,Non-FAQ,01/03/2026,2900,3200,3100
"Tamil Nadu",Dharmapuri,"Karimangalam(Uzhavar Sandhai)",Onion,Bellary,Local,01/03/2026,2600,2800,2700
"Tamil Nadu",Dharmapuri,"Karimangalam(Uzhavar Sandhai)",Chikoos(Sapota),Sapota,Local,01/03/2026,3300,3500,3400
"Tamil Nadu",Dharmapuri,"Karimangalam(Uzhavar Sandhai)",Pumpkin,Pumpkin,Local,01/03/2026,1800,2000,1900
"Tamil Nadu",Dharmapuri,"Karimangalam(Uzhavar Sandhai)",Coconut,Coconut,Local,01/03/2026,7500,8000,7750
"Tamil Nadu",Dharmapuri,"Karimangalam(Uzhavar Sandhai)","Green Avare(W)",Other,Local,01/03/2026,2800,3000,2900
"Tamil Nadu",Dharmapuri,"Karimangalam(Uzhavar Sandhai)","Amla(Nelli Kai)",Amla,Local,01/03/2026,7000,7500,7250
"Tamil Nadu",Salem,"Mecheri(Uzhavar Sandhai)",Coriander(Leaves),"I Sort",Local,01/03/2026,2000,2500,2250
"Tamil Nadu",Salem,"Mecheri(Uzhavar Sandhai)","Green Peas","Green Peas",Local,01/03/2026,5500,6000,5750
"Tamil Nadu",Salem,"Mecheri(Uzhavar Sandhai)",Papaya,Papaya,Local,01/03/2026,2500,3000,2750
"Tamil Nadu",Salem,"Mecheri(Uzhavar Sandhai)",Tomato,Deshi,Local,01/03/2026,1000,1400,1200
"Tamil Nadu",Salem,"Mecheri(Uzhavar Sandhai)","Cluster beans","Cluster Beans",Local,01/03/2026,4000,4500,4250
"Tamil Nadu",Salem,"Mecheri(Uzhavar Sandhai)","Bitter gourd","Bitter Gourd",Local,01/03/2026,4000,4500,4250
"Tamil Nadu",Salem,"Mecheri(Uzhavar Sandhai)",Amaranthus,Amaranthus,Local,01/03/2026,2000,2500,2250
"Tamil Nadu",Salem,"Mecheri(Uzhavar Sandhai)","Green Chilli","Green Chilly",Local,01/03/2026,4500,5000,4750
"Tamil Nadu",Salem,"Mecheri(Uzhavar Sandhai)",Ginger(Green),"Green Ginger",Local,01/03/2026,7500,8000,7750
"Tamil Nadu",Salem,"Mecheri(Uzhavar Sandhai)","Sweet Potato","Hosur Red",Local,01/03/2026,3500,4000,3750
